arch,layers,device,avg_train_time_s,avg_inference_time_s,test_acc,test_f1
graphsage,1,cpu,0.026091623306274413,0.0063102483749389645,0.9985,0.9984384722949851
graphsage,1,cuda,0.027613431215286255,0.0014356374740600586,0.997,0.9968788721492399
graphsage,2,cpu,0.16493582129478454,0.06766562461853028,0.9965,0.9963594293769605
graphsage,2,cuda,0.005258184671401977,0.0022675752639770507,0.9965,0.9963594293769605
graphsage,3,cpu,0.3015011131763458,0.1340484857559204,0.999,0.9989587660961746
graphsage,3,cuda,0.007276219129562378,0.0031831026077270507,0.9965,0.9963594293769605
graphsage,4,cpu,0.46667973399162294,0.19939725399017333,0.9965,0.9963594293769605
graphsage,4,cuda,0.00810217261314392,0.0044329166412353516,1.0,1.0
gcn,1,cpu,0.23754009008407592,0.11210131645202637,0.9995,0.9994790580014217
gcn,1,cuda,0.0064830780029296875,0.0023270130157470705,0.998,0.9979175321923492
gcn,2,cpu,0.4714728891849518,0.22511117458343505,0.998,0.9979183926660811
gcn,2,cuda,0.00719071626663208,0.0044476032257080075,0.998,0.9979183926660811
gcn,3,cpu,0.7178751349449157,0.339953875541687,0.993,0.9927113626732222
gcn,3,cuda,0.009684383869171143,0.00668644905090332,0.995,0.9948002462603371
gcn,4,cpu,0.948273754119873,0.45747473239898684,0.9815,0.9807957364458774
gcn,4,cuda,0.012328964471817017,0.009053993225097656,0.6955,0.6921380707672966
