dataset,gnn,hops,device,test_acc,test_macro_f1,test_auc,avg_epoch_time_s,avg_infer_time_s,n_users,n_edges
wikivote,sage,1,cpu,0.8445692883895131,0.7309693044486394,0.8304981064332086,0.017858947525087387,0.0063642425496254875,7115,103689
wikivote,sage,2,cpu,0.8604868913857678,0.8012675854059084,0.9418312266378123,0.05576925271257096,0.013187518849736079,7115,103689
wikivote,sage,3,cpu,0.8829588014981273,0.8271117298539838,0.9429563004131419,0.06973451068761279,0.020983355399948778,7115,103689
wikivote,sage,4,cpu,0.9082397003745318,0.8583071149691066,0.9434481359433405,0.10653462504983509,0.02962942900003327,7115,103689
wikivote,gcn,1,cpu,0.7162921348314607,0.5626588821991121,0.5390056315168208,0.0159624654374511,0.005318937249921873,7115,103689
wikivote,gcn,2,cpu,0.17696629213483145,0.15317842687466793,0.83193672535904,0.05043205882504935,0.0118942323999363,7115,103689
wikivote,gcn,3,cpu,0.5552434456928839,0.5241512247970397,0.7664795642337202,0.061359504912570625,0.017833972950120368,7115,103689
wikivote,gcn,4,cpu,0.5889513108614233,0.5486873630112922,0.8002809610466259,0.09630518350011244,0.025853996150181045,7115,103689
wikivote,sgc,1,cpu,0.5,0.45528315510779493,0.6456109826873893,0.015846358362477986,0.005510635550035658,7115,103689
wikivote,sgc,2,cpu,0.6189138576779026,0.5750863901854883,0.7441871188274641,0.025892292337448452,0.015505503099939233,7115,103689
wikivote,sgc,3,cpu,0.20411985018726592,0.1893832240366894,0.5710425683651387,0.029847760762550024,0.014987471200038271,7115,103689
wikivote,sgc,4,cpu,0.17228464419475656,0.14696485623003194,0.753907018493016,0.03115659876243626,0.01912767400035591,7115,103689
wikivote,sage,1,cuda,0.8773408239700374,0.819941699967182,0.9245616515837104,0.00252839653742285,0.00037514010018639964,7115,103689
wikivote,sage,2,cuda,0.897003745318352,0.8387282760892842,0.922661936848318,0.00450144534993342,0.0008748793001359445,7115,103689
wikivote,sage,3,cuda,0.8932584269662921,0.8212001057361882,0.913919560299036,0.005772224887596167,0.0012714777500150375,7115,103689
wikivote,sage,4,cuda,0.898876404494382,0.8464634847613571,0.9417697471965375,0.007931572737493297,0.0018916787001217017,7115,103689
wikivote,gcn,1,cuda,0.8277153558052435,0.6412207608211435,0.5755981949636042,0.00281421791255525,0.00035028469992539615,7115,103689
wikivote,gcn,2,cuda,0.6591760299625468,0.5615288831140707,0.5596289100924651,0.004303121312386793,0.00076405679965319,7115,103689
wikivote,gcn,3,cuda,0.32397003745318353,0.3107336956521739,0.4550861941766673,0.005835587437445611,0.0012824847495721769,7115,103689
wikivote,gcn,4,cuda,0.17228464419475656,0.14696485623003194,0.489674527837891,0.007629253312575202,0.0015304394000850152,7115,103689
wikivote,sgc,1,cuda,0.6264044943820225,0.5799995860433531,0.7546693635648238,0.0023539703499864117,0.000272063049760618,7115,103689
wikivote,sgc,2,cuda,0.399812734082397,0.3934952420524424,0.7686928241196145,0.0024107324000851803,0.00036157335016469007,7115,103689
wikivote,sgc,3,cuda,0.6732209737827716,0.5331507178741456,0.4551599695061971,0.002556979237510859,0.00046520365031028633,7115,103689
wikivote,sgc,4,cuda,0.8764044943820225,0.7522773279352226,0.751822865433799,0.00263744741237133,0.0005601339998065668,7115,103689
