user_id,user_type,influencer_type,label,num_followers,num_following,num_posts,num_comments
0,influencer,normal,1,353,62,14,30
1,general,none,0,22,106,1,2
2,general,none,0,16,81,2,2
3,general,none,0,18,44,1,2
4,general,none,0,12,92,6,2
5,general,none,0,20,60,2,2
6,general,none,0,20,74,3,0
7,general,none,0,26,63,1,2
8,influencer,normal,1,130,79,13,11
9,general,none,0,16,75,3,1
10,general,none,0,18,93,2,6
11,general,none,0,13,105,3,4
12,general,none,0,20,60,1,5
13,general,none,0,21,65,5,0
14,general,none,0,26,63,1,1
15,general,none,0,31,83,5,3
16,general,none,0,24,75,0,3
17,influencer,normal,1,223,63,28,12
18,general,none,0,25,67,4,2
19,general,none,0,12,119,0,2
20,general,none,0,22,95,3,2
21,general,none,0,27,88,2,1
22,influencer,normal,1,283,79,29,10
23,general,none,0,23,72,2,4
24,influencer,normal,1,192,50,21,17
25,general,none,0,12,99,4,3
26,general,none,0,16,113,1,4
27,influencer,normal,1,132,60,10,20
28,general,none,0,15,103,2,2
29,general,none,0,19,78,1,3
30,general,none,0,13,103,1,6
31,influencer,normal,1,269,68,22,16
32,influencer,normal,1,404,61,19,19
33,influencer,normal,1,185,57,22,11
34,influencer,normal,1,278,55,28,23
35,general,none,0,18,53,3,2
36,general,none,0,27,74,1,2
37,general,none,0,18,81,2,3
38,general,none,0,17,71,3,0
39,general,none,0,23,102,3,1
40,influencer,normal,1,268,81,22,13
41,general,none,0,22,78,4,3
42,general,none,0,12,99,4,2
43,general,none,0,19,93,1,3
44,general,none,0,13,84,0,3
45,meta_influencer,meta,1,31,55,12,6
46,general,none,0,20,96,5,0
47,general,none,0,19,73,0,4
48,general,none,0,16,99,0,2
49,meta_influencer,meta,1,27,54,10,12
50,influencer,normal,1,145,56,16,13
51,general,none,0,16,104,0,2
52,general,none,0,21,61,1,5
53,influencer,normal,1,204,55,20,18
54,general,none,0,17,85,3,2
55,influencer,normal,1,327,65,19,16
56,general,none,0,23,95,3,1
57,general,none,0,21,96,3,4
58,general,none,0,14,93,2,6
59,general,none,0,18,73,2,1
60,general,none,0,9,71,3,2
61,general,none,0,18,64,2,4
62,general,none,0,18,78,5,3
63,general,none,0,18,100,0,1
64,general,none,0,19,84,1,2
65,general,none,0,20,90,1,2
66,general,none,0,20,84,3,2
67,general,none,0,17,72,1,1
68,general,none,0,11,111,3,2
69,influencer,normal,1,419,52,27,18
70,general,none,0,19,92,4,4
71,influencer,normal,1,301,59,30,18
72,influencer,normal,1,205,60,17,20
73,general,none,0,19,81,4,2
74,influencer,normal,1,209,50,21,13
75,general,none,0,17,96,2,3
76,influencer,normal,1,355,60,22,11
77,general,none,0,18,79,2,4
78,general,none,0,30,81,0,2
